Year,Period,State,ANSI,Affected by,% of Impact,state_code
2021,JAN THRU MAR,Arizona,4,Malaria,16.2,AZ
2021,JAN THRU MAR,Arizona,4,Viral fever,7.9,AZ
2021,JAN THRU MAR,Arizona,4,Unknown,0.2,AZ
2021,JAN THRU MAR,Arizona,4,Covid,25.8,AZ
2020,JAN THRU MAR,Arizona,4,Tuberculosis,4.6,AZ
2020,JAN THRU MAR,Arizona,4,Other,7.9,AZ
2020,JAN THRU MAR,Arizona,4,Malaria,15.3,AZ
2020,JAN THRU MAR,Arizona,4,Viral fever,4.3,AZ
2020,JAN THRU MAR,Arizona,4,Unknown,4.2,AZ
2020,JAN THRU MAR,Arizona,4,Covid,36.3,AZ
2020,APR THRU JUN,Arizona,4,Tuberculosis,32.8,AZ
2020,APR THRU JUN,Arizona,4,Other,14.3,AZ
2020,APR THRU JUN,Arizona,4,Malaria,0.8,AZ
2020,APR THRU JUN,Arizona,4,Viral fever,7.2,AZ
2020,APR THRU JUN,Arizona,4,Unknown,4.1,AZ
2020,APR THRU JUN,Arizona,4,Covid,73.8,AZ
2020,JUL THRU SEP,Arizona,4,Tuberculosis,4.5,AZ
2020,JUL THRU SEP,Arizona,4,Other,15,AZ
2020,JUL THRU SEP,Arizona,4,Malaria,3.8,AZ
2020,JUL THRU SEP,Arizona,4,Viral fever,2.3,AZ
2020,JUL THRU SEP,Arizona,4,Unknown,27.6,AZ
2020,JUL THRU SEP,Arizona,4,Covid,52.5,AZ
2020,OCT THRU DEC,Arizona,4,Tuberculosis,3.1,AZ
2020,OCT THRU DEC,Arizona,4,Other,7.1,AZ
2020,OCT THRU DEC,Arizona,4,Malaria,0,AZ
2020,OCT THRU DEC,Arizona,4,Viral fever,8.3,AZ
2020,OCT THRU DEC,Arizona,4,Unknown,3,AZ
2020,OCT THRU DEC,Arizona,4,Covid,20.6,AZ
2019,JAN THRU MAR,Arizona,4,Tuberculosis,3.8,AZ
2019,JAN THRU MAR,Arizona,4,Other,6.5,AZ
2019,JAN THRU MAR,Arizona,4,Malaria,1.7,AZ
2019,JAN THRU MAR,Arizona,4,Viral fever,2,AZ
2019,JAN THRU MAR,Arizona,4,Unknown,2.1,AZ
2019,JAN THRU MAR,Arizona,4,Covid,35.6,AZ
2019,APR THRU JUN,Arizona,4,Tuberculosis,19.7,AZ
2019,APR THRU JUN,Arizona,4,Other,20.4,AZ
2019,APR THRU JUN,Arizona,4,Malaria,12.4,AZ
2019,APR THRU JUN,Arizona,4,Viral fever,15.9,AZ
2019,APR THRU JUN,Arizona,4,Unknown,0.7,AZ
2019,APR THRU JUN,Arizona,4,Covid,58.4,AZ
2019,JUL THRU SEP,Arizona,4,Tuberculosis,0.5,AZ
2019,JUL THRU SEP,Arizona,4,Other,12.4,AZ
2019,JUL THRU SEP,Arizona,4,Malaria,1.1,AZ
2019,JUL THRU SEP,Arizona,4,Viral fever,0.4,AZ
2019,JUL THRU SEP,Arizona,4,Unknown,6.3,AZ
2019,JUL THRU SEP,Arizona,4,Covid,19.8,AZ
2019,OCT THRU DEC,Arizona,4,Tuberculosis,2.3,AZ
2019,OCT THRU DEC,Arizona,4,Other,4.1,AZ
2019,OCT THRU DEC,Arizona,4,Malaria,1.6,AZ
2019,OCT THRU DEC,Arizona,4,Viral fever,4.2,AZ
2019,OCT THRU DEC,Arizona,4,Unknown,0.1,AZ
2019,OCT THRU DEC,Arizona,4,Covid,61.6,AZ
2018,JAN THRU MAR,Arizona,4,Tuberculosis,0,AZ
2018,JAN THRU MAR,Arizona,4,Other,6.5,AZ
2018,JAN THRU MAR,Arizona,4,Malaria,7.7,AZ
2018,JAN THRU MAR,Arizona,4,Viral fever,2.8,AZ
2018,JAN THRU MAR,Arizona,4,Unknown,7.2,AZ
2018,JAN THRU MAR,Arizona,4,Covid,33.8,AZ
2018,APR THRU JUN,Arizona,4,Tuberculosis,17.2,AZ
2018,APR THRU JUN,Arizona,4,Other,17.4,AZ
2018,APR THRU JUN,Arizona,4,Malaria,12,AZ
2018,APR THRU JUN,Arizona,4,Viral fever,47.5,AZ
2018,APR THRU JUN,Arizona,4,Unknown,3.5,AZ
2018,APR THRU JUN,Arizona,4,Covid,26.8,AZ
2018,JUL THRU SEP,Arizona,4,Tuberculosis,0.9,AZ
2018,JUL THRU SEP,Arizona,4,Other,13.4,AZ
2018,JUL THRU SEP,Arizona,4,Malaria,13.5,AZ
2018,JUL THRU SEP,Arizona,4,Viral fever,1,AZ
2018,JUL THRU SEP,Arizona,4,Unknown,8.9,AZ
2018,JUL THRU SEP,Arizona,4,Covid,41.7,AZ
2018,OCT THRU DEC,Arizona,4,Tuberculosis,2.3,AZ
2018,OCT THRU DEC,Arizona,4,Other,4.3,AZ
2018,OCT THRU DEC,Arizona,4,Malaria,6.5,AZ
2018,OCT THRU DEC,Arizona,4,Viral fever,15.5,AZ
2018,OCT THRU DEC,Arizona,4,Unknown,3.2,AZ
2018,OCT THRU DEC,Arizona,4,Covid,98.8,AZ
2017,JAN THRU MAR,Arizona,4,Tuberculosis,0.1,AZ
2017,JAN THRU MAR,Arizona,4,Other,1.8,AZ
2017,JAN THRU MAR,Arizona,4,Malaria,0,AZ
2017,JAN THRU MAR,Arizona,4,Viral fever,20.5,AZ
2017,JAN THRU MAR,Arizona,4,Unknown,3.1,AZ
2017,JAN THRU MAR,Arizona,4,Covid,26.9,AZ
2017,APR THRU JUN,Arizona,4,Tuberculosis,0.5,AZ
2017,APR THRU JUN,Arizona,4,Other,28.2,AZ
2017,APR THRU JUN,Arizona,4,Malaria,20.1,AZ
2017,APR THRU JUN,Arizona,4,Viral fever,32.1,AZ
2017,APR THRU JUN,Arizona,4,Unknown,0.3,AZ
2017,APR THRU JUN,Arizona,4,Covid,8.4,AZ
2017,JUL THRU SEP,Arizona,4,Tuberculosis,5.4,AZ
2017,JUL THRU SEP,Arizona,4,Other,7.6,AZ
2017,JUL THRU SEP,Arizona,4,Malaria,17.3,AZ
2017,JUL THRU SEP,Arizona,4,Viral fever,24.8,AZ
2017,JUL THRU SEP,Arizona,4,Unknown,5.1,AZ
2017,JUL THRU SEP,Arizona,4,Covid,53.5,AZ
2017,OCT THRU DEC,Arizona,4,Tuberculosis,1.1,AZ
2017,OCT THRU DEC,Arizona,4,Other,0.5,AZ
2017,OCT THRU DEC,Arizona,4,Malaria,3.5,AZ
2017,OCT THRU DEC,Arizona,4,Viral fever,1.7,AZ
2017,OCT THRU DEC,Arizona,4,Unknown,15.5,AZ
2017,OCT THRU DEC,Arizona,4,Covid,50.1,AZ
2021,JAN THRU MAR,Arkansas,5,Tuberculosis,3.3,AR
2021,JAN THRU MAR,Arkansas,5,Other,0.7,AR
2021,JAN THRU MAR,Arkansas,5,Malaria,55.3,AR
2021,JAN THRU MAR,Arkansas,5,Viral fever,1.5,AR
2021,JAN THRU MAR,Arkansas,5,Unknown,2.9,AR
2021,JAN THRU MAR,Arkansas,5,Covid,19.5,AR
2020,JAN THRU MAR,Arkansas,5,Tuberculosis,1,AR
2020,JAN THRU MAR,Arkansas,5,Other,4.6,AR
2020,JAN THRU MAR,Arkansas,5,Malaria,23,AR
2020,JAN THRU MAR,Arkansas,5,Viral fever,9.6,AR
2020,JAN THRU MAR,Arkansas,5,Unknown,13.9,AR
2020,JAN THRU MAR,Arkansas,5,Covid,21.1,AR
2020,APR THRU JUN,Arkansas,5,Tuberculosis,0.7,AR
2020,APR THRU JUN,Arkansas,5,Other,17,AR
2020,APR THRU JUN,Arkansas,5,Malaria,2.2,AR
2020,APR THRU JUN,Arkansas,5,Viral fever,12.8,AR
2020,APR THRU JUN,Arkansas,5,Unknown,13.2,AR
2020,APR THRU JUN,Arkansas,5,Covid,30.9,AR
2020,JUL THRU SEP,Arkansas,5,Tuberculosis,0.1,AR
2020,JUL THRU SEP,Arkansas,5,Other,0.5,AR
2020,JUL THRU SEP,Arkansas,5,Malaria,17.6,AR
2020,JUL THRU SEP,Arkansas,5,Viral fever,7.8,AR
2020,JUL THRU SEP,Arkansas,5,Unknown,0.6,AR
2020,JUL THRU SEP,Arkansas,5,Covid,29.9,AR
2020,OCT THRU DEC,Arkansas,5,Tuberculosis,0,AR
2020,OCT THRU DEC,Arkansas,5,Other,5.3,AR
2020,OCT THRU DEC,Arkansas,5,Malaria,73.5,AR
2020,OCT THRU DEC,Arkansas,5,Viral fever,7.1,AR
2020,OCT THRU DEC,Arkansas,5,Unknown,2.2,AR
2020,OCT THRU DEC,Arkansas,5,Covid,82.8,AR
2019,JAN THRU MAR,Arkansas,5,Tuberculosis,0.1,AR
2019,JAN THRU MAR,Arkansas,5,Other,3,AR
2019,JAN THRU MAR,Arkansas,5,Malaria,0.5,AR
2019,JAN THRU MAR,Arkansas,5,Viral fever,14.6,AR
2019,JAN THRU MAR,Arkansas,5,Unknown,1,AR
2019,JAN THRU MAR,Arkansas,5,Covid,31.5,AR
2019,APR THRU JUN,Arkansas,5,Tuberculosis,1.9,AR
2019,APR THRU JUN,Arkansas,5,Other,2.7,AR
2019,APR THRU JUN,Arkansas,5,Malaria,3.9,AR
2019,APR THRU JUN,Arkansas,5,Viral fever,9.6,AR
2019,APR THRU JUN,Arkansas,5,Unknown,2.5,AR
2019,APR THRU JUN,Arkansas,5,Covid,19.4,AR
2019,JUL THRU SEP,Arkansas,5,Tuberculosis,0,AR
2019,JUL THRU SEP,Arkansas,5,Other,9.3,AR
2019,JUL THRU SEP,Arkansas,5,Malaria,17,AR
2019,JUL THRU SEP,Arkansas,5,Viral fever,9.1,AR
2019,JUL THRU SEP,Arkansas,5,Unknown,2.3,AR
2019,JUL THRU SEP,Arkansas,5,Covid,61.4,AR
2019,OCT THRU DEC,Arkansas,5,Tuberculosis,26.6,AR
2019,OCT THRU DEC,Arkansas,5,Other,24.1,AR
2019,OCT THRU DEC,Arkansas,5,Malaria,31,AR
2019,OCT THRU DEC,Arkansas,5,Viral fever,29.2,AR
2019,OCT THRU DEC,Arkansas,5,Unknown,0.4,AR
2019,OCT THRU DEC,Arkansas,5,Covid,37.5,AR
2018,JAN THRU MAR,Arkansas,5,Tuberculosis,0,AR
2018,JAN THRU MAR,Arkansas,5,Other,1.9,AR
2018,JAN THRU MAR,Arkansas,5,Malaria,0.5,AR
2018,JAN THRU MAR,Arkansas,5,Viral fever,6.9,AR
2018,JAN THRU MAR,Arkansas,5,Unknown,8.1,AR
2018,JAN THRU MAR,Arkansas,5,Covid,57.4,AR
2018,APR THRU JUN,Arkansas,5,Tuberculosis,5.5,AR
2018,APR THRU JUN,Arkansas,5,Other,3.4,AR
2018,APR THRU JUN,Arkansas,5,Malaria,0.1,AR
2018,APR THRU JUN,Arkansas,5,Viral fever,8.5,AR
2018,APR THRU JUN,Arkansas,5,Unknown,1.6,AR
2018,APR THRU JUN,Arkansas,5,Covid,84.9,AR
2018,JUL THRU SEP,Arkansas,5,Tuberculosis,0.4,AR
2018,JUL THRU SEP,Arkansas,5,Other,2.7,AR
2018,JUL THRU SEP,Arkansas,5,Malaria,7.9,AR
2018,JUL THRU SEP,Arkansas,5,Viral fever,9,AR
2018,JUL THRU SEP,Arkansas,5,Unknown,0.3,AR
2018,JUL THRU SEP,Arkansas,5,Covid,80.7,AR
2018,OCT THRU DEC,Arkansas,5,Tuberculosis,0,AR
2018,OCT THRU DEC,Arkansas,5,Other,1.1,AR
2018,OCT THRU DEC,Arkansas,5,Malaria,1.3,AR
2018,OCT THRU DEC,Arkansas,5,Viral fever,4.8,AR
2018,OCT THRU DEC,Arkansas,5,Unknown,3.3,AR
2018,OCT THRU DEC,Arkansas,5,Covid,21.1,AR
2017,JAN THRU MAR,Arkansas,5,Tuberculosis,1.5,AR
2017,JAN THRU MAR,Arkansas,5,Other,1,AR
2017,JAN THRU MAR,Arkansas,5,Malaria,3.4,AR
2017,JAN THRU MAR,Arkansas,5,Viral fever,11.4,AR
2017,JAN THRU MAR,Arkansas,5,Unknown,1,AR
2017,JAN THRU MAR,Arkansas,5,Covid,17.6,AR
2017,APR THRU JUN,Arkansas,5,Tuberculosis,7,AR
2017,APR THRU JUN,Arkansas,5,Other,27.4,AR
2017,APR THRU JUN,Arkansas,5,Malaria,22.6,AR
2017,APR THRU JUN,Arkansas,5,Viral fever,63.4,AR
2017,APR THRU JUN,Arkansas,5,Unknown,9.3,AR
2017,APR THRU JUN,Arkansas,5,Covid,65.9,AR
2017,JUL THRU SEP,Arkansas,5,Tuberculosis,0.9,AR
2017,JUL THRU SEP,Arkansas,5,Other,1.8,AR
2017,JUL THRU SEP,Arkansas,5,Malaria,5,AR
2017,JUL THRU SEP,Arkansas,5,Viral fever,32.4,AR
2017,JUL THRU SEP,Arkansas,5,Unknown,1.4,AR
2017,JUL THRU SEP,Arkansas,5,Covid,69.2,AR
2017,OCT THRU DEC,Arkansas,5,Tuberculosis,0.1,AR
2017,OCT THRU DEC,Arkansas,5,Other,8.5,AR
2017,OCT THRU DEC,Arkansas,5,Malaria,8.2,AR
2017,OCT THRU DEC,Arkansas,5,Viral fever,9.7,AR
2017,OCT THRU DEC,Arkansas,5,Unknown,0.6,AR
2017,OCT THRU DEC,Arkansas,5,Covid,38.1,AR
2021,JAN THRU MAR,California,6,Tuberculosis,6.4,CA
2021,JAN THRU MAR,California,6,Other,8.7,CA
2021,JAN THRU MAR,California,6,Malaria,12.3,CA
2021,JAN THRU MAR,California,6,Viral fever,13.4,CA
2021,JAN THRU MAR,California,6,Unknown,5.6,CA
2021,JAN THRU MAR,California,6,Covid,43.5,CA
2020,JAN THRU MAR,California,6,Tuberculosis,4.8,CA
2020,JAN THRU MAR,California,6,Other,8,CA
2020,JAN THRU MAR,California,6,Malaria,11.5,CA
2020,JAN THRU MAR,California,6,Viral fever,11.3,CA
2020,JAN THRU MAR,California,6,Unknown,4.9,CA
2020,JAN THRU MAR,California,6,Covid,41.3,CA
2020,APR THRU JUN,California,6,Tuberculosis,11.1,CA
2020,APR THRU JUN,California,6,Other,9,CA
2020,APR THRU JUN,California,6,Malaria,13.7,CA
2020,APR THRU JUN,California,6,Viral fever,10.2,CA
2020,APR THRU JUN,California,6,Unknown,5,CA
2020,APR THRU JUN,California,6,Covid,41.5,CA
2020,JUL THRU SEP,California,6,Tuberculosis,4.5,CA
2020,JUL THRU SEP,California,6,Other,12,CA
2020,JUL THRU SEP,California,6,Malaria,17.8,CA
2020,JUL THRU SEP,California,6,Viral fever,6.6,CA
2020,JUL THRU SEP,California,6,Unknown,3.6,CA
2020,JUL THRU SEP,California,6,Covid,57.3,CA
2020,OCT THRU DEC,California,6,Tuberculosis,9.8,CA
2020,OCT THRU DEC,California,6,Other,9.3,CA
2020,OCT THRU DEC,California,6,Malaria,11.6,CA
2020,OCT THRU DEC,California,6,Viral fever,16.6,CA
2020,OCT THRU DEC,California,6,Unknown,7.1,CA
2020,OCT THRU DEC,California,6,Covid,44.1,CA
2019,JAN THRU MAR,California,6,Tuberculosis,7.5,CA
2019,JAN THRU MAR,California,6,Other,6.6,CA
2019,JAN THRU MAR,California,6,Malaria,9.2,CA
2019,JAN THRU MAR,California,6,Viral fever,12.6,CA
2019,JAN THRU MAR,California,6,Unknown,6.3,CA
2019,JAN THRU MAR,California,6,Covid,37.7,CA
2019,APR THRU JUN,California,6,Tuberculosis,3.1,CA
2019,APR THRU JUN,California,6,Other,4.8,CA
2019,APR THRU JUN,California,6,Malaria,13,CA
2019,APR THRU JUN,California,6,Viral fever,7.7,CA
2019,APR THRU JUN,California,6,Unknown,3.4,CA
2019,APR THRU JUN,California,6,Covid,38,CA
2019,JUL THRU SEP,California,6,Tuberculosis,5.6,CA
2019,JUL THRU SEP,California,6,Other,10.1,CA
2019,JUL THRU SEP,California,6,Malaria,13.4,CA
2019,JUL THRU SEP,California,6,Viral fever,15.8,CA
2019,JUL THRU SEP,California,6,Unknown,3.6,CA
2019,JUL THRU SEP,California,6,Covid,42.3,CA
2019,OCT THRU DEC,California,6,Tuberculosis,7.4,CA
2019,OCT THRU DEC,California,6,Other,17.1,CA
2019,OCT THRU DEC,California,6,Malaria,17,CA
2019,OCT THRU DEC,California,6,Viral fever,14.1,CA
2019,OCT THRU DEC,California,6,Unknown,6.3,CA
2019,OCT THRU DEC,California,6,Covid,47.9,CA
2018,JAN THRU MAR,California,6,Tuberculosis,9,CA
2018,JAN THRU MAR,California,6,Other,8.4,CA
2018,JAN THRU MAR,California,6,Malaria,13.5,CA
2018,JAN THRU MAR,California,6,Viral fever,15.2,CA
2018,JAN THRU MAR,California,6,Unknown,4.4,CA
2018,JAN THRU MAR,California,6,Covid,38.1,CA
2018,APR THRU JUN,California,6,Tuberculosis,11.2,CA
2018,APR THRU JUN,California,6,Other,15.3,CA
2018,APR THRU JUN,California,6,Malaria,14.2,CA
2018,APR THRU JUN,California,6,Viral fever,14.1,CA
2018,APR THRU JUN,California,6,Unknown,2.6,CA
2018,APR THRU JUN,California,6,Covid,49.7,CA
2018,JUL THRU SEP,California,6,Tuberculosis,8.5,CA
2018,JUL THRU SEP,California,6,Other,10.4,CA
2018,JUL THRU SEP,California,6,Malaria,18.8,CA
2018,JUL THRU SEP,California,6,Viral fever,17.8,CA
2018,JUL THRU SEP,California,6,Unknown,6.9,CA
2018,JUL THRU SEP,California,6,Covid,42.2,CA
2018,OCT THRU DEC,California,6,Tuberculosis,8,CA
2018,OCT THRU DEC,California,6,Other,9.6,CA
2018,OCT THRU DEC,California,6,Malaria,9.1,CA
2018,OCT THRU DEC,California,6,Viral fever,13.7,CA
2018,OCT THRU DEC,California,6,Unknown,3.5,CA
2018,OCT THRU DEC,California,6,Covid,41.9,CA
2017,JAN THRU MAR,California,6,Tuberculosis,3,CA
2017,JAN THRU MAR,California,6,Other,6.5,CA
2017,JAN THRU MAR,California,6,Malaria,7.5,CA
2017,JAN THRU MAR,California,6,Viral fever,7.2,CA
2017,JAN THRU MAR,California,6,Unknown,2.8,CA
2017,JAN THRU MAR,California,6,Covid,24.7,CA
2017,APR THRU JUN,California,6,Tuberculosis,7.8,CA
2017,APR THRU JUN,California,6,Other,14.2,CA
2017,APR THRU JUN,California,6,Malaria,23,CA
2017,APR THRU JUN,California,6,Viral fever,21.5,CA
2017,APR THRU JUN,California,6,Unknown,3.1,CA
2017,APR THRU JUN,California,6,Covid,50.9,CA
2017,JUL THRU SEP,California,6,Tuberculosis,12.5,CA
2017,JUL THRU SEP,California,6,Other,15,CA
2017,JUL THRU SEP,California,6,Malaria,19.6,CA
2017,JUL THRU SEP,California,6,Viral fever,20.4,CA
2017,JUL THRU SEP,California,6,Unknown,4.7,CA
2017,JUL THRU SEP,California,6,Covid,39.9,CA
2017,OCT THRU DEC,California,6,Tuberculosis,6.2,CA
2017,OCT THRU DEC,California,6,Other,10.5,CA
2017,OCT THRU DEC,California,6,Malaria,11.7,CA
2017,OCT THRU DEC,California,6,Viral fever,12.7,CA
2017,OCT THRU DEC,California,6,Unknown,7.3,CA
2017,OCT THRU DEC,California,6,Covid,37.3,CA
2021,JAN THRU MAR,Colorado,8,Tuberculosis,0,CO
2021,JAN THRU MAR,Colorado,8,Other,2.5,CO
2021,JAN THRU MAR,Colorado,8,Malaria,0,CO
2021,JAN THRU MAR,Colorado,8,Viral fever,0.3,CO
2021,JAN THRU MAR,Colorado,8,Unknown,0.6,CO
2021,JAN THRU MAR,Colorado,8,Covid,11.2,CO
2020,JAN THRU MAR,Colorado,8,Tuberculosis,3.8,CO
2020,JAN THRU MAR,Colorado,8,Other,13.7,CO
2020,JAN THRU MAR,Colorado,8,Malaria,0.5,CO
2020,JAN THRU MAR,Colorado,8,Viral fever,0.8,CO
2020,JAN THRU MAR,Colorado,8,Unknown,2.4,CO
2020,JAN THRU MAR,Colorado,8,Covid,31.7,CO
2020,APR THRU JUN,Colorado,8,Tuberculosis,12.7,CO
2020,APR THRU JUN,Colorado,8,Other,4.2,CO
2020,APR THRU JUN,Colorado,8,Malaria,3.6,CO
2020,APR THRU JUN,Colorado,8,Viral fever,0,CO
2020,APR THRU JUN,Colorado,8,Unknown,0.5,CO
2020,APR THRU JUN,Colorado,8,Covid,41.7,CO
2020,JUL THRU SEP,Colorado,8,Tuberculosis,5.6,CO
2020,JUL THRU SEP,Colorado,8,Other,8.5,CO
2020,JUL THRU SEP,Colorado,8,Malaria,2.9,CO
2020,JUL THRU SEP,Colorado,8,Viral fever,16.6,CO
2020,JUL THRU SEP,Colorado,8,Unknown,4.5,CO
2020,JUL THRU SEP,Colorado,8,Covid,72.6,CO
2020,OCT THRU DEC,Colorado,8,Tuberculosis,1,CO
2020,OCT THRU DEC,Colorado,8,Other,6.1,CO
2020,OCT THRU DEC,Colorado,8,Malaria,0,CO
2020,OCT THRU DEC,Colorado,8,Viral fever,5.9,CO
2020,OCT THRU DEC,Colorado,8,Unknown,1.2,CO
2020,OCT THRU DEC,Colorado,8,Covid,73.2,CO
2019,JAN THRU MAR,Colorado,8,Tuberculosis,0,CO
2019,JAN THRU MAR,Colorado,8,Other,2.6,CO
2019,JAN THRU MAR,Colorado,8,Malaria,0.9,CO
2019,JAN THRU MAR,Colorado,8,Viral fever,0,CO
2019,JAN THRU MAR,Colorado,8,Unknown,0.4,CO
